 Strategy Type:	SHORTEST_PATH  NashValue:	0.0  e_NashValue for twoConsecutiveAvgCompletionTime :	0.5 Total Number of players =	50
Total Iterations =	25
Stopping Condition =	Iterations exceed 25
Final Admission Rate- used IF NASH:	22.0
Max Admission Rate- can be used IF stop at certain iteration:	24.0
Average Admission Rate:	22.16
Admission rate per iteration:	[22.0, 24.0, 22.0, 22.0, 22.0, 24.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]
Players completion time per iteration
0	[28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28]
1	[31, 24, 35, 20, 31, 24, 35, 20, 31, 24, 35, 20, 31, 24, 35, 20, 31, 24, 35, 20, 31, 24, 35, 20, 31]
2	[44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45]
3	[15, 19, 19, 22, 15, 19, 19, 22, 15, 19, 19, 22, 15, 19, 19, 22, 15, 19, 19, 22, 15, 19, 19, 22, 15]
4	[52, 50, 50, 50, 50, 50, 50, 51, 50, 50, 50, 51, 50, 50, 50, 51, 50, 50, 50, 51, 50, 50, 50, 51, 50]
5	[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]
6	[64, 64, 64, 64, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66]
7	[52, 57, 54, 57, 54, 57, 54, 57, 54, 57, 54, 57, 54, 57, 54, 57, 54, 57, 54, 57, 54, 57, 54, 57, 54]
8	[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]
9	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
10	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
11	[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42]
12	[41, 38, 33, 39, 33, 38, 33, 39, 33, 38, 33, 39, 33, 38, 33, 39, 33, 38, 33, 39, 33, 38, 33, 39, 33]
13	[29, 33, 33, 29, 29, 33, 33, 29, 29, 33, 33, 29, 29, 33, 33, 29, 29, 33, 33, 29, 29, 33, 33, 29, 29]
14	[38, 39, 38, 35, 38, 39, 38, 35, 38, 39, 38, 35, 38, 39, 38, 35, 38, 39, 38, 35, 38, 39, 38, 35, 38]
15	[57, 48, 48, 48, 59, 48, 48, 48, 59, 48, 48, 48, 59, 48, 48, 48, 59, 48, 48, 48, 59, 48, 48, 48, 59]
16	[20, 29, 24, 32, 20, 29, 24, 32, 20, 29, 24, 32, 20, 29, 24, 32, 20, 29, 24, 32, 20, 29, 24, 32, 20]
17	[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]
18	[43, 41, 43, 38, 43, 41, 43, 38, 43, 41, 43, 38, 43, 41, 43, 38, 43, 41, 43, 38, 43, 41, 43, 38, 43]
19	[24, 22, 21, 18, 24, 22, 21, 18, 24, 22, 21, 18, 24, 22, 21, 18, 24, 22, 21, 18, 24, 22, 21, 18, 24]
20	[15, 16, 17, 21, 15, 16, 17, 18, 17, 18, 17, 18, 17, 18, 17, 18, 17, 18, 17, 18, 17, 18, 17, 18, 17]
21	[44, 42, 42, 34, 42, 42, 42, 34, 42, 42, 42, 34, 42, 42, 42, 34, 42, 42, 42, 34, 42, 42, 42, 34, 42]
