 Strategy Type:	MIXEDSTRATEGY  NashValue:	0.0  e_NashValue for twoConsecutiveAvgCompletionTime :	0.5 Total Number of players =	50
Total Iterations =	100
Stopping Condition =	Iterations exceed 25
Final Admission Rate- used IF NASH:	6.0
Max Admission Rate- can be used IF stop at certain iteration:	14.0
iteration at which we got Max Admission Rate - can be used IF stop at certain iteration:	10.0
Average Admission Rate:	9.34
Admission rate per iteration:	[6.0, 6.0, 12.0, 10.0, 6.0, 6.0, 10.0, 8.0, 12.0, 6.0, 14.0, 10.0, 12.0, 6.0, 12.0, 8.0, 14.0, 10.0, 10.0, 6.0, 10.0, 6.0, 14.0, 6.0, 12.0, 6.0, 14.0, 14.0, 12.0, 12.0, 12.0, 6.0, 12.0, 10.0, 10.0, 6.0, 6.0, 6.0, 14.0, 8.0, 12.0, 6.0, 6.0, 8.0, 6.0, 12.0, 6.0, 8.0, 6.0, 14.0, 8.0, 12.0, 10.0, 12.0, 12.0, 6.0, 6.0, 10.0, 10.0, 6.0, 12.0, 6.0, 6.0, 12.0, 6.0, 6.0, 6.0, 14.0, 8.0, 12.0, 10.0, 14.0, 10.0, 6.0, 6.0, 12.0, 6.0, 12.0, 14.0, 6.0, 8.0, 6.0, 12.0, 8.0, 14.0, 10.0, 6.0, 12.0, 14.0, 8.0, 6.0, 12.0, 10.0, 14.0, 10.0, 6.0, 12.0, 8.0, 12.0, 6.0]
Players completion time per iteration
0	[33, 33, 33, 33, 33, 33, 33, 33, 28, 33, 28, 28, 28, 33, 28, 33, 33, 28, 28, 33, 28, 33, 28, 33, 33, 33, 28, 28, 33, 28, 28, 33, 33, 33, 28, 33, 33, 33, 28, 33, 28, 33, 33, 33, 33, 28, 33, 33, 33, 28, 33, 28, 33, 28, 28, 33, 33, 28, 33, 33, 33, 33, 33, 28, 33, 33, 33, 28, 33, 28, 33, 28, 28, 33, 33, 28, 33, 28, 28, 33, 33, 33, 28, 33, 28, 28, 33, 33, 28, 33, 33, 28, 33, 33, 28, 33, 28, 33, 28, 33]
1	[56, 49, 49, 51, 51, 49, 51, 49, 51, 51, 51, 51, 51, 51, 51, 51, 49, 49, 49, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 62, 51, 51, 49, 51, 62, 51, 51, 51, 51, 49, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 49, 51, 51, 51, 51, 51, 51, 51, 51, 51, 49, 51, 49, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 49, 49, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51]
2	[70, 70, 77, 78, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]
